date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:01	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1631963364-ssl-df	https://ippro.netlify.app/indsutrialdesign.html	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/indsutrialdesign.5a.delayed	(from https://ippro.netlify.app/contact)
15:47:02	20891/20891	---MCZ	200	added ('OK')	application/javascript	etag:%2255cee263fe6de80742a233fd1e31d4eb-ssl-df%22	https://ippro.netlify.app/js/validate.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/validate.js	(from https://ippro.netlify.app/contact)
15:47:03	75220/75220	---MCZ	200	added ('OK')	application/octet-stream	etag:%2239d3eb3fa60e254585e0966d85a04998-ssl-df%22	https://ippro.netlify.app/fonts/fontawesome-webfont914c.eot?v=4.6.1	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/fontawesome-webfont914c914c.eot	(from https://ippro.netlify.app/css/font-awesome.css)
15:47:03	75220/75220	---MCZ	200	added ('OK')	application/octet-stream	etag:%2239d3eb3fa60e254585e0966d85a04998-ssl-df%22	https://ippro.netlify.app/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/fontawesome-webfontd41dd41d.eot	(from https://ippro.netlify.app/css/font-awesome.css)
15:47:03	70728/70728	---M--	200	added ('OK')	font/woff2	etag:%22236fa37b865b9de2dd76cdb598b69698-ssl%22	https://ippro.netlify.app/fonts/fontawesome-webfont914c.woff2?v=4.6.1	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/fontawesome-webfont914c914c.woff2	(from https://ippro.netlify.app/css/font-awesome.css)
15:47:04	89076/89076	---MCZ	200	added ('OK')	application/font-woff	etag:%22e8847086a8935c78e9d6cd20fcd6aa04-ssl-df%22	https://ippro.netlify.app/fonts/fontawesome-webfont914c.woff?v=4.6.1	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/fontawesome-webfont914c914c.woff	(from https://ippro.netlify.app/css/font-awesome.css)
15:47:05	150920/150920	---M--	200	added ('OK')	font/ttf	etag:%22a1427e72fc709990c6e25fcddc68c74b-ssl%22	https://ippro.netlify.app/fonts/fontawesome-webfont914c.ttf?v=4.6.1	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/fontawesome-webfont914c914c.ttf	(from https://ippro.netlify.app/css/font-awesome.css)
15:47:06	45770/45770	---MCZ	200	added ('OK')	application/octet-stream	etag:%22a58cff5931c4b07fc7c834794db10bce-ssl-df%22	https://ippro.netlify.app/fonts/flaticon.eot	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/flaticon.eot	(from https://ippro.netlify.app/css/flaticon.css)
15:47:06	45770/45770	---MCZ	200	added ('OK')	application/octet-stream	etag:%22a58cff5931c4b07fc7c834794db10bce-ssl-df%22	https://ippro.netlify.app/fonts/flaticond41d.eot?	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/flaticond41dd41d.eot	(from https://ippro.netlify.app/css/flaticon.css)
15:47:06	386421/386421	---MCZ	200	added ('OK')	image/svg+xml	etag:%22757d74be38b842123ee94222c6974945-ssl-df%22	https://ippro.netlify.app/fonts/fontawesome-webfont914c.svg?v=4.6.1	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/fontawesome-webfont914c914c.svg	(from https://ippro.netlify.app/css/font-awesome.css)
